code,type,count,description,Group,Larger group
E8588,Diagnosis,10,Accidental poisoning by other specified drugs,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
30460,Diagnosis,10,"Other specified drug dependence, unspecified",Mental Disorders,Mental Disorders
20602,Diagnosis,10,"Acute monocytic leukemia, in relapse",Neoplasms,Neoplasms
20055,Diagnosis,10,"Primary central nervous system lymphoma, lymph nodes of inguinal region and lower limb",Neoplasms,Neoplasms
3918,Diagnosis,10,Other acute rheumatic heart disease,Diseases Of The Circulatory System,Diseases Of The Circulatory System
20067,Diagnosis,10,"Anaplastic large cell lymphoma, spleen",Neoplasms,Neoplasms
03643,Diagnosis,10,Meningococcal myocarditis,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
81351,Diagnosis,10,Open Colles' fracture,Injury And Poisoning,"Injury, Poisoning & External Causes"
8714,Diagnosis,10,Unspecified laceration of eye,Injury And Poisoning,"Injury, Poisoning & External Causes"
20780,Diagnosis,10,"Other specified leukemia, without mention of having achieved remission",Neoplasms,Neoplasms
4100,Diagnosis,10,"Bone marrow transplant, not otherwise specified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
71219,Diagnosis,10,"Chondrocalcinosis, due to dicalcium phosphate crystals, multiple sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
36918,Diagnosis,10,Better eye: moderate vision impairment; lesser eye: profound vision impairment,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
20822,Diagnosis,10,"Subacute leukemia of unspecified cell type, in relapse",Neoplasms,Neoplasms
E9319,Diagnosis,10,Other and unspecified anti-infectives causing adverse effects in therapeutic use,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
85206,Diagnosis,10,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",Injury And Poisoning,"Injury, Poisoning & External Causes"
9879,Diagnosis,10,"Toxic effect of unspecified gas, fume, or vapor",Injury And Poisoning,"Injury, Poisoning & External Causes"
38811,Diagnosis,10,Acoustic trauma (explosive) to ear,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
9561,Diagnosis,10,Injury to femoral nerve,Injury And Poisoning,"Injury, Poisoning & External Causes"
36920,Diagnosis,10,"Moderate or severe impairment, both eyes, impairment level not further specified",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
9392,Diagnosis,10,Foreign body in vulva and vagina,Injury And Poisoning,"Injury, Poisoning & External Causes"
37831,Diagnosis,10,Hypertropia,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
73632,Diagnosis,10,Coxa vara (acquired),Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71834,Diagnosis,10,"Recurrent dislocation of joint, hand",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
73620,Diagnosis,10,Unspecified deformity of finger,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
87272,Diagnosis,10,"Open wound of ossicles, complicated",Injury And Poisoning,"Injury, Poisoning & External Causes"
42290,Diagnosis,10,"Acute myocarditis, unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
80511,Diagnosis,10,Open fracture of first cervical vertebra,Injury And Poisoning,"Injury, Poisoning & External Causes"
25801,Diagnosis,10,Multiple endocrine neoplasia [MEN] type I,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
95913,Diagnosis,10,Fracture of corpus cavernosum penis,Injury And Poisoning,"Injury, Poisoning & External Causes"
V701,Diagnosis,10,"General psychiatric examination, requested by the authority",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
05811,Diagnosis,10,Roseola infantum due to human herpesvirus 6,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
8712,Diagnosis,10,Rupture of eye with partial loss of intraocular tissue,Injury And Poisoning,"Injury, Poisoning & External Causes"
11519,Diagnosis,10,"Infection by Histoplasma duboisii, other",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
87322,Diagnosis,10,"Open wound of nasal cavity, without mention of complication",Injury And Poisoning,"Injury, Poisoning & External Causes"
81323,Diagnosis,10,Closed fracture of shaft of radius with ulna,Injury And Poisoning,"Injury, Poisoning & External Causes"
75162,Diagnosis,10,Congenital cystic disease of liver,Congenital Anomalies,Congenital Anomalies
30720,Diagnosis,10,"Tic disorder, unspecified",Mental Disorders,Mental Disorders
V1012,Diagnosis,10,Personal history of malignant neoplasm of trachea,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
36240,Diagnosis,10,"Retinal layer separation, unspecified",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
31500,Diagnosis,10,"Developmental reading disorder, unspecified",Mental Disorders,Mental Disorders
9994,Diagnosis,10,Anaphylactic shock due to serum,Injury And Poisoning,"Injury, Poisoning & External Causes"
81011,Diagnosis,10,Open fracture of sternal end of clavicle,Injury And Poisoning,"Injury, Poisoning & External Causes"
1499,Diagnosis,10,Malignant neoplasm of ill-defined sites within the lip and oral cavity,Neoplasms,Neoplasms
81252,Diagnosis,10,Open fracture of lateral condyle of humerus,Injury And Poisoning,"Injury, Poisoning & External Causes"
80718,Diagnosis,10,Open fracture of eight or more ribs,Injury And Poisoning,"Injury, Poisoning & External Causes"
87210,Diagnosis,10,"Open wound of external ear, unspecified site, complicated",Injury And Poisoning,"Injury, Poisoning & External Causes"
03641,Diagnosis,10,Meningococcal pericarditis,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
05679,Diagnosis,10,Rubella with other specified complications,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
1466,Diagnosis,10,Malignant neoplasm of lateral wall of oropharynx,Neoplasms,Neoplasms
00842,Diagnosis,10,Intestinal infection due to pseudomonas,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
3911,Diagnosis,10,Acute rheumatic endocarditis,Diseases Of The Circulatory System,Diseases Of The Circulatory System
69552,Diagnosis,10,Exfoliation due to erythematous condition involving 20-29 percent of body surface,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
8073,Diagnosis,10,Open fracture of sternum,Injury And Poisoning,"Injury, Poisoning & External Causes"
8291,Diagnosis,10,"Fracture of unspecified bone, open",Injury And Poisoning,"Injury, Poisoning & External Causes"
81313,Diagnosis,10,Open Monteggia's fracture,Injury And Poisoning,"Injury, Poisoning & External Causes"
37886,Diagnosis,10,Internuclear ophthalmoplegia,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
3301,Diagnosis,10,Cerebral lipidoses,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
20402,Diagnosis,10,"Acute lymphoid leukemia, in relapse",Neoplasms,Neoplasms
71229,Diagnosis,10,"Chondrocalcinosis, due to pyrophosphate crystals, multiple sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
2515,Diagnosis,10,Abnormality of secretion of gastrin,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
71291,Diagnosis,10,"Unspecified crystal arthropathy, shoulder region",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
82139,Diagnosis,10,Other open fracture of lower end of femur,Injury And Poisoning,"Injury, Poisoning & External Causes"
36225,Diagnosis,10,"Retinopathy of prematurity, stage 3",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
20026,Diagnosis,10,"Burkitt's tumor or lymphoma, intrapelvic lymph nodes",Neoplasms,Neoplasms
85180,Diagnosis,10,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, unspecified state of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
71807,Diagnosis,10,"Articular cartilage disorder, ankle and foot",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
1569,Diagnosis,10,"Malignant neoplasm of biliary tract, part unspecified site",Neoplasms,Neoplasms
8601,Diagnosis,10,Traumatic pneumothorax with open wound into thorax,Injury And Poisoning,"Injury, Poisoning & External Causes"
36320,Diagnosis,10,"Chorioretinitis, unspecified",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
7473,Diagnosis,10,Anomalies of pulmonary artery,Congenital Anomalies,Congenital Anomalies
0319,Diagnosis,10,Unspecified diseases due to mycobacteria,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
27709,Diagnosis,10,Cystic fibrosis with other manifestations,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
30573,Diagnosis,10,"Amphetamine or related acting sympathomimetic abuse, in remission",Mental Disorders,Mental Disorders
7513,Diagnosis,10,Hirschsprung's disease and other congenital functional disorders of colon,Congenital Anomalies,Congenital Anomalies
V618,Diagnosis,10,Other specified family circumstances,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
31232,Diagnosis,10,Kleptomania,Mental Disorders,Mental Disorders
V7242,Diagnosis,10,"Pregnancy examination or test, positive result",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
07049,Diagnosis,10,Other specified viral hepatitis with hepatic coma,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
20881,Diagnosis,10,"Other leukemia of unspecified cell type, in remission",Neoplasms,Neoplasms
69553,Diagnosis,10,Exfoliation due to erythematous condition involving 30-39 percent of body surface,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
33393,Diagnosis,10,Benign shuddering attacks,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
53491,Diagnosis,10,"Gastrojejunal ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, with obstruction",Diseases Of The Digestive System,Diseases Of The Digestive System
81212,Diagnosis,10,Open fracture of anatomical neck of humerus,Injury And Poisoning,"Injury, Poisoning & External Causes"
20214,Diagnosis,10,"Mycosis fungoides, lymph nodes of axilla and upper limb",Neoplasms,Neoplasms
87359,Diagnosis,10,"Open wound of other and multiple sites of face, complicated",Injury And Poisoning,"Injury, Poisoning & External Causes"
20227,Diagnosis,10,"Sezary's disease, spleen",Neoplasms,Neoplasms
0609,Diagnosis,10,"Yellow fever, unspecified",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
41060,Diagnosis,10,"True posterior wall infarction, episode of care unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
81390,Diagnosis,10,Open fracture of unspecified part of forearm,Injury And Poisoning,"Injury, Poisoning & External Causes"
81512,Diagnosis,10,Open fracture of base of other metacarpal bone(s),Injury And Poisoning,"Injury, Poisoning & External Causes"
36854,Diagnosis,10,Achromatopsia,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
9073,Diagnosis,10,"Late effect of injury to nerve root(s), spinal plexus(es), and other nerves of trunk",Injury And Poisoning,"Injury, Poisoning & External Causes"
20016,Diagnosis,10,"Lymphosarcoma, intrapelvic lymph nodes",Neoplasms,Neoplasms
95891,Diagnosis,10,Traumatic compartment syndrome of upper extremity,Injury And Poisoning,"Injury, Poisoning & External Causes"
71808,Diagnosis,10,"Articular cartilage disorder, other specified sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
1405,Diagnosis,10,"Malignant neoplasm of lip, unspecified, inner aspect",Neoplasms,Neoplasms
20223,Diagnosis,10,"Sezary's disease, intra-abdominal lymph nodes",Neoplasms,Neoplasms
36119,Diagnosis,10,Other retinoschisis and retinal cysts,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
8781,Diagnosis,10,"Open wound of penis, complicated",Injury And Poisoning,"Injury, Poisoning & External Causes"
1899,Diagnosis,10,"Malignant neoplasm of urinary organ, site unspecified",Neoplasms,Neoplasms
1412,Diagnosis,10,Malignant neoplasm of tip and lateral border of tongue,Neoplasms,Neoplasms
6984,Diagnosis,10,Dermatitis factitia [artefacta],Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
6169,Diagnosis,10,"Unspecified inflammatory disease of cervix, vagina, and vulva",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
36106,Diagnosis,10,"Old retinal detachment, partial",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
9580,Diagnosis,10,Air embolism,Injury And Poisoning,"Injury, Poisoning & External Causes"
20530,Diagnosis,10,"Myeloid sarcoma, without mention of having achieved remission",Neoplasms,Neoplasms
V5420,Diagnosis,10,"Aftercare for healing pathologic fracture of arm, unspecified",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
73603,Diagnosis,10,Valgus deformity of wrist (acquired),Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
81119,Diagnosis,10,"Open fracture of scapula, other",Injury And Poisoning,"Injury, Poisoning & External Causes"
62929,Diagnosis,10,Other female genital mutilation status,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
07881,Diagnosis,10,Epidemic vertigo,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
5271,Diagnosis,10,Hypertrophy of salivary gland,Diseases Of The Digestive System,Diseases Of The Digestive System
20903,Diagnosis,10,Malignant carcinoid tumor of the ileum,Neoplasms,Neoplasms
E8694,Diagnosis,10,Second hand tobacco smoke,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
V6881,Diagnosis,10,Referral of patient without examination or treatment,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
E8210,Diagnosis,10,Nontraffic accident involving other off-road motor vehicle injuring driver of motor vehicle other than motorcycle,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
37313,Diagnosis,10,Abscess of eyelid,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
